id,age_group,game_user,culture_identity,nft_awareness,trust_in_platform,offline_travel_interest,purchase_intention,preferred_rights
1,18-24,1,5,5,2,4,中低,景区权益
2,35-44,0,5,4,3,5,中高,限量收藏
3,35-44,0,3,3,2,3,低,线下活动
4,45+,1,2,5,1,2,中低,限量收藏
5,18-24,1,4,2,2,2,低,二创权益
6,35-44,0,3,1,1,1,低,景区权益
7,25-34,0,2,1,2,5,低,二创权益
8,25-34,0,3,1,1,1,低,景区权益
9,35-44,1,1,3,1,5,低,景区权益
10,18-24,0,2,5,2,5,高,线下活动
11,25-34,1,4,1,5,4,高,线下活动
12,35-44,0,4,1,4,1,低,线下活动
13,25-34,0,2,4,4,3,低,景区权益
14,18-24,0,3,5,4,5,中低,二创权益
15,25-34,1,5,5,1,5,低,景区权益
16,25-34,0,2,4,4,2,中高,景区权益
17,45+,0,4,5,1,4,中低,景区权益
18,18-24,1,1,2,5,3,低,线下活动
19,35-44,1,4,3,2,5,中低,线下活动
20,18-24,0,5,4,2,2,中高,限量收藏
21,18-24,0,4,1,1,1,低,景区权益
22,18-24,1,5,5,1,5,高,景区权益
23,35-44,1,2,2,5,2,中低,景区权益
24,18-24,0,4,2,4,1,中高,限量收藏
25,35-44,1,3,3,5,4,中低,线下活动
26,25-34,0,3,2,2,1,低,线下活动
27,45+,1,4,5,2,5,高,二创权益
28,35-44,0,4,5,4,3,中高,景区权益
29,35-44,1,1,2,2,1,中低,景区权益
30,35-44,0,4,5,1,3,中高,限量收藏
31,25-34,1,1,5,2,3,低,线下活动
32,35-44,1,1,1,3,1,低,限量收藏
33,18-24,0,1,4,4,4,低,二创权益
34,18-24,0,1,5,4,1,中低,限量收藏
35,25-34,0,2,5,4,2,中低,景区权益
36,25-34,1,3,3,3,3,低,景区权益
37,25-34,1,1,4,5,5,中低,线下活动
38,25-34,1,3,4,1,3,中高,线下活动
39,25-34,0,1,4,4,5,低,景区权益
40,25-34,1,3,2,2,2,中高,景区权益
41,18-24,0,4,1,1,2,低,限量收藏
42,45+,0,4,1,2,2,中低,线下活动
43,45+,0,3,3,1,1,低,景区权益
44,45+,0,1,4,1,3,低,限量收藏
45,25-34,1,2,4,2,5,低,景区权益
46,25-34,1,3,5,2,2,高,二创权益
47,45+,0,5,2,1,2,低,景区权益
48,45+,0,2,2,4,5,低,线下活动
49,35-44,0,5,3,2,3,中低,限量收藏
50,25-34,1,3,1,3,3,低,景区权益
51,25-34,0,1,4,3,5,中低,限量收藏
52,35-44,0,5,3,1,4,低,景区权益
53,18-24,1,3,2,5,3,低,线下活动
54,25-34,1,2,2,1,5,低,限量收藏
55,35-44,1,1,2,1,5,低,景区权益
56,35-44,1,5,4,4,2,中低,景区权益
57,25-34,1,3,4,4,5,中低,线下活动
58,25-34,0,1,4,5,1,中低,景区权益
59,45+,1,1,5,5,2,中高,限量收藏
60,25-34,0,4,1,5,2,中高,景区权益
61,35-44,1,1,2,5,3,低,二创权益
62,35-44,0,3,2,5,4,低,限量收藏
63,35-44,1,2,5,1,3,中低,线下活动
64,35-44,0,4,2,1,1,低,景区权益
65,25-34,0,3,2,3,2,低,景区权益
66,25-34,1,3,4,3,2,中低,景区权益
67,25-34,0,3,4,2,5,低,景区权益
68,18-24,1,5,1,1,4,低,线下活动
69,18-24,0,5,2,5,4,中高,限量收藏
70,18-24,1,2,3,2,5,低,景区权益
71,35-44,1,3,2,4,1,中低,线下活动
72,18-24,1,5,2,1,4,中低,景区权益
73,18-24,0,5,1,3,2,中低,景区权益
74,18-24,0,5,3,1,1,中低,二创权益
75,35-44,0,2,2,1,3,低,限量收藏
76,18-24,1,2,3,1,3,低,线下活动
77,25-34,1,3,4,1,1,低,景区权益
78,18-24,1,4,4,4,2,中高,景区权益
79,35-44,0,3,3,3,3,中高,景区权益
80,45+,0,5,2,1,2,低,二创权益
81,45+,0,5,3,4,5,中低,限量收藏
82,25-34,1,1,3,2,4,低,景区权益
83,25-34,0,3,4,1,1,中低,线下活动
84,25-34,0,5,3,4,4,中低,限量收藏
85,25-34,1,5,5,5,5,中高,线下活动
86,25-34,0,4,5,2,3,中低,景区权益
87,18-24,1,1,4,3,2,低,景区权益
88,35-44,0,3,2,1,2,低,景区权益
89,18-24,0,2,2,1,5,低,景区权益
90,25-34,0,3,4,4,1,中低,线下活动
91,25-34,1,3,2,3,4,低,线下活动
92,25-34,0,4,1,5,3,中高,限量收藏
93,35-44,0,3,5,2,1,中低,二创权益
94,35-44,0,4,1,3,5,中高,景区权益
95,25-34,0,4,1,1,5,低,二创权益
96,25-34,1,5,1,4,2,中低,二创权益
97,18-24,0,2,4,5,3,低,限量收藏
98,25-34,1,4,1,4,1,低,景区权益
99,45+,0,1,3,2,2,中低,线下活动
100,45+,1,1,2,3,3,低,景区权益
101,35-44,1,2,4,4,4,中高,线下活动
102,18-24,1,4,3,4,4,中高,景区权益
103,18-24,1,2,3,1,2,低,限量收藏
104,25-34,0,5,5,4,1,低,限量收藏
105,35-44,1,1,5,5,3,中高,景区权益
106,35-44,0,3,3,3,4,低,景区权益
107,35-44,0,1,5,2,4,低,景区权益
108,25-34,1,4,2,4,1,中低,限量收藏
109,18-24,0,2,2,5,2,低,线下活动
110,18-24,1,1,5,2,5,低,景区权益
111,18-24,0,3,1,5,3,低,线下活动
112,25-34,0,3,3,4,4,低,景区权益
113,18-24,1,2,2,4,5,低,线下活动
114,35-44,1,2,5,3,1,低,二创权益
115,35-44,1,1,5,1,2,低,景区权益
116,18-24,1,4,2,5,3,中低,二创权益
117,18-24,1,5,2,1,1,低,限量收藏
118,18-24,0,3,1,1,2,低,景区权益
119,35-44,1,2,5,2,1,中高,二创权益
120,25-34,0,5,5,2,4,中高,景区权益
121,25-34,0,5,4,5,4,中高,景区权益
122,35-44,0,5,1,1,5,中低,限量收藏
123,25-34,0,4,2,3,1,中低,线下活动
124,25-34,1,2,2,1,4,低,线下活动
125,35-44,1,3,3,2,2,低,景区权益
126,35-44,1,2,2,1,5,低,二创权益
127,35-44,1,1,5,4,3,低,线下活动
128,25-34,0,3,2,4,1,低,二创权益
129,25-34,0,2,5,3,4,中低,景区权益
130,35-44,0,3,5,5,2,中高,线下活动
131,25-34,1,1,1,1,1,低,二创权益
132,35-44,0,3,2,4,2,低,限量收藏
133,45+,0,5,1,5,5,中低,二创权益
134,45+,1,4,5,4,4,中低,景区权益
135,18-24,1,1,2,5,4,低,景区权益
136,18-24,1,3,2,5,5,中低,二创权益
137,18-24,1,1,1,4,2,低,二创权益
138,35-44,0,5,1,2,1,中低,景区权益
139,25-34,0,4,5,5,2,中高,景区权益
140,18-24,1,1,5,1,1,中低,线下活动
141,18-24,1,5,2,4,5,中低,二创权益
142,25-34,1,5,2,2,3,中高,限量收藏
143,18-24,0,5,4,4,1,中高,线下活动
144,18-24,1,3,4,3,4,中低,线下活动
145,35-44,0,2,3,1,4,低,景区权益
146,18-24,0,1,5,3,4,中低,二创权益
